2017-12-05,1512403200,,,
F0501686,P001,922,0000,6.00
F0501686,P002,922,0000,9.00
F0701702,P001,911,0000,1.50
F0701702,P001,923,0000,0.00
F0701702,P002,911,0000,6.20
F0701702,P002,923,0000,69.00
F0703948,P001,911,0000,2.20
F0703948,P001,923,0000,92.00
F0703948,P002,911,0000,2.40
F0703948,P002,924,0000,3.00
F0501686,P001,911,0000,0.90
F0501686,P001,923,0000,91.00
F0501686,P002,911,0000,1.20
F0501686,P002,923,0000,92.00
F0701702,P001,922,0000,0.00
F0703948,P003,922,0000,6.00
F0703948,P003,924,0000,17.00
F1600491,P501,922,0000,0.00
F1600491,P901,911,0000,12.10
F1600491,P901,923,0000,63.00
F1700736,P601,911,0000,0.80
F1700736,P701,911,0000,0.60
F1700736,P701,923,0000,22.00
F2300972,P101,922,0000,4.00
F2300972,P101,924,0000,4.00
F2300972,P201,922,0000,3.00
F2300972,P201,924,0000,1.00
F2300972,P301,911,0000,1.50
F2300972,P301,923,0000,81.00
F0501686,P002,924,0000,13.00
F0703948,P001,922,0000,3.00
F0703948,P001,924,0000,15.00
F0703948,P003,911,0000,2.10
F0703948,P003,923,0000,75.00
F1600491,P901,922,0000,21.00
F1700736,P601,922,0000,7.00
F1700736,P701,922,0000,4.00
F2300972,P101,923,0000,78.00
F0501686,P001,924,0000,18.00
F0701702,P002,922,0000,30.00
F0703948,P002,922,0000,3.00
F0703948,P002,923,0000,58.00
F1600491,P501,911,0000,1.30
F1600491,P501,923,0000,0.00
F2300972,P101,911,0000,2.30
F2300972,P201,911,0000,1.60
F2300972,P201,923,0000,76.00
F2300972,P301,922,0000,2.00
F2300972,P301,924,0000,2.00
F1700736,P601,923,0000,22.00
F0701702,P001,911,0006,1.50
F0701702,P002,911,0006,6.20
F0703948,P001,911,0006,2.20
F0703948,P002,911,0006,2.20
F0501686,P001,911,0006,0.80
F0501686,P002,911,0006,1.20
F1600491,P901,911,0006,12.10
F1700736,P601,911,0006,0.80
F1700736,P701,911,0006,0.70
F2300972,P301,911,0006,1.60
F0703948,P003,911,0006,2.10
F1600491,P501,911,0006,1.30
F2300972,P101,911,0006,2.30
F2300972,P201,911,0006,1.50
F0701702,P001,911,0012,1.40
F0701702,P002,911,0012,6.40
F0703948,P001,911,0012,2.10
F0703948,P002,911,0012,2.30
F0501686,P001,911,0012,0.80
F0501686,P002,911,0012,1.20
F1600491,P901,911,0012,12.10
F1700736,P601,911,0012,0.80
F1700736,P701,911,0012,0.60
F2300972,P301,911,0012,1.60
F0703948,P003,911,0012,2.10
F1600491,P501,911,0012,1.30
