2016-08-20,1471622400,,,
P5801719,P101,911,0000,6.4
P5801719,P201,911,0000,6.2
P5801719,P401,911,0000,13
P5802074,P001,911,0000,1.65
P5802074,P001,922,0000,1.3
P5802074,P001,923,0000,23.25
P5802074,P001,924,0000,12.6
P5802074,P001,926,0000,1.21
P5802074,P001,936,0000,15.46
P5802074,P001,937,0000,7.71
P5802074,P002,911,0000,3.63
P5802074,P002,922,0000,0
P5802074,P002,923,0000,48
P5802074,P002,924,0000,144.6
P5802074,P002,926,0000,0.32
P5802074,P002,936,0000,16.36
P5802074,P002,937,0000,7.03
P5802092,PG01,911,0000,10.4
P5802092,PG02,911,0000,5.9
P5802421,P01A,911,0000,12.6
P5802421,P04A,911,0000,6.8
P5802421,P05A,911,0000,8.9
P5802421,P101,911,0000,2.8
P5802421,P201,911,0000,3.7
P5802421,P301,911,0000,2.9
P5802421,P401,911,0000,6.1
P5802421,P701,911,0000,90.1
P5802421,P801,911,0000,89.6
P5802421,PC01,911,0000,1.8
P5802421,PD01,911,0000,2.8
P5802421,PE01,911,0000,2.2
P5802421,PQ01,911,0000,-
P5802430,PA01,911,0000,-
P5802430,PA01,922,0000,-
P5802430,PA01,923,0000,-
P5802430,PA01,924,0000,-
P5802430,PA01,936,0000,-
P5802430,PB01,911,0000,13.99
P5802430,PB01,922,0000,10.01
P5802430,PB01,923,0000,27.3
P5802430,PB01,924,0000,15
P5802430,PB01,936,0000,4.51
P5802430,PC01,911,0000,10.43
P5802430,PC01,922,0000,9.01
P5802430,PC01,923,0000,36.47
P5802430,PC01,924,0000,20.48
P5802430,PC01,936,0000,5.61
P5802430,PD01,911,0000,7.07
P5802430,PD01,922,0000,11.05
P5802430,PD01,923,0000,38.33
P5802430,PD01,924,0000,8.73
P5802430,PD01,936,0000,3.94
P5802430,PE01,911,0000,12.73
P5802430,PE01,922,0000,13.55
P5802430,PE01,923,0000,31.22
P5802430,PE01,924,0000,32.21
P5802430,PE01,936,0000,5.55
P4600987,P001,911,0000,2.5
P4600987,P001,922,0000,19
P4600987,P001,923,0000,162
P4600987,P001,936,0000,5.7
P4600987,P002,911,0000,4.1
P4600987,P002,922,0000,21
P4600987,P002,923,0000,141
P4600987,P002,936,0000,6.3
P6201053,P001,222,0000,24
P6201053,P001,223,0000,39
P6201053,P001,236,0000,17.6
P6201053,P001,248,0000,15134
P6201053,P001,259,0000,105
P6201053,P001,911,0000,6
P6201053,P001,922,0000,25
P6201053,P001,923,0000,43
P6201053,P001,936,0000,17.7
P6201053,P002,222,0000,0
P6201053,P002,223,0000,66
P6201053,P002,236,0000,15.5
P6201053,P002,248,0000,9354
P6201053,P002,259,0000,134
P6201053,P002,911,0000,1.8
P6201053,P002,922,0000,0
P6201053,P002,923,0000,66
P6201053,P002,936,0000,15.4
P5801719,P101,222,0000,8
P5801719,P101,223,0000,39
P5801719,P101,224,0000,110
P5801719,P101,236,0000,5.5
P5801719,P101,248,0000,1981759
P5801719,P101,259,0000,36
P5801719,P101,922,0000,8
P5801719,P101,923,0000,39
P5801719,P101,924,0000,108
P5801719,P101,936,0000,5.4
P5801719,P201,222,0000,12
P5801719,P201,223,0000,33
P5801719,P201,224,0000,103
P5801719,P201,236,0000,5
P5801719,P201,248,0000,1950182
P5801719,P201,259,0000,36
P5801719,P201,922,0000,12
P5801719,P201,923,0000,35
P5801719,P201,924,0000,60
P5801719,P201,936,0000,5.2
P5801719,P401,222,0000,21
P5801719,P401,223,0000,37
P5801719,P401,224,0000,48
P5801719,P401,236,0000,5.7
P5801719,P401,248,0000,1896076
P5801719,P401,259,0000,37
P5801719,P401,922,0000,21
P5801719,P401,923,0000,37
P5801719,P401,924,0000,53
P5801719,P401,936,0000,5.7
P5801728,P201,222,0000,-
P5801728,P201,223,0000,-
P5801728,P201,224,0000,-
P5801728,P201,236,0000,-
P5801728,P201,248,0000,-
P5801728,P201,259,0000,-
P5801728,P201,911,0000,-
P5801728,P201,922,0000,-
P5801728,P201,923,0000,-
P5801728,P201,924,0000,-
P5801728,P201,936,0000,-
P5801728,P301,222,0000,-
P5801728,P301,223,0000,-
P5801728,P301,224,0000,-
P5801728,P301,236,0000,-
P5801728,P301,248,0000,-
P5801728,P301,259,0000,-
P5801728,P301,911,0000,-
P5801728,P301,922,0000,-
P5801728,P301,923,0000,-
P5801728,P301,924,0000,-
P5801728,P301,936,0000,-
P5801728,P401,222,0000,18
P5801728,P401,223,0000,30
P5801728,P401,224,0000,53
P5801728,P401,236,0000,3.7
P5801728,P401,248,0000,240982
P5801728,P401,259,0000,55
P5801728,P401,911,0000,12.3
P5801728,P401,922,0000,17
P5801728,P401,923,0000,30
P5801728,P401,924,0000,37
P5801728,P401,936,0000,3.8
P5801728,P501,222,0000,14
P5801728,P501,223,0000,26
P5801728,P501,224,0000,50
P5801728,P501,236,0000,4.6
P5801728,P501,248,0000,246413
P5801728,P501,259,0000,55
P5801728,P501,911,0000,12.7
P5801728,P501,922,0000,15
P5801728,P501,923,0000,28
P5801728,P501,924,0000,19
P5801728,P501,936,0000,4.8
P5801728,P601,222,0000,10
P5801728,P601,223,0000,29
P5801728,P601,224,0000,24
P5801728,P601,236,0000,5.5
P5801728,P601,248,0000,344886
P5801728,P601,259,0000,54
P5801728,P601,911,0000,13.8
P5801728,P601,922,0000,10
P5801728,P601,923,0000,35
P5801728,P601,924,0000,20
P5801728,P601,936,0000,5.9
P5801728,P701,222,0000,-
P5801728,P701,223,0000,-
P5801728,P701,224,0000,-
P5801728,P701,236,0000,-
P5801728,P701,248,0000,-
P5801728,P701,259,0000,-
P5801728,P701,911,0000,-
P5801728,P701,922,0000,-
P5801728,P701,923,0000,-
P5801728,P701,924,0000,-
P5801728,P701,936,0000,-
P5802074,P001,222,0000,0.47
P5802074,P001,223,0000,24.53
P5802074,P001,224,0000,4.2
P5802074,P001,226,0000,1.46
P5802074,P001,236,0000,17.05
P5802074,P001,237,0000,7.49
P5802074,P001,248,0000,11713.83
P5802074,P001,259,0000,83.71
P5802074,P002,222,0000,0
P5802074,P002,223,0000,42.91
P5802074,P002,224,0000,38.37
P5802074,P002,226,0000,0.45
P5802074,P002,236,0000,18
P5802074,P002,237,0000,6.92
P5802074,P002,248,0000,9949.26
P5802074,P002,259,0000,89.17
P5802092,PP06,223,0000,-
P5802092,PP06,236,0000,-
P5802092,PP06,248,0000,-
P5802092,PP06,259,0000,-
P5802092,PP06,923,0000,-
P5802092,PP06,936,0000,-
P5802092,PG01,222,0000,2
P5802092,PG01,223,0000,13
P5802092,PG01,236,0000,11.2
P5802092,PG01,248,0000,76002
P5802092,PG01,259,0000,57
P5802092,PG01,922,0000,2
P5802092,PG01,923,0000,13
P5802092,PG01,936,0000,11.2
P5802092,PG02,222,0000,2
P5802092,PG02,223,0000,16
P5802092,PG02,236,0000,4.2
P5802092,PG02,248,0000,-
P5802092,PG02,259,0000,144
P5802092,PG02,922,0000,2
P5802092,PG02,923,0000,16
P5802092,PG02,936,0000,4.3
P5802421,P01A,222,0000,8
P5802421,P01A,223,0000,17
P5802421,P01A,224,0000,15
P5802421,P01A,236,0000,5.2
P5802421,P01A,248,0000,1310093
P5802421,P01A,259,0000,35
P5802421,P01A,922,0000,8
P5802421,P01A,923,0000,20
P5802421,P01A,924,0000,11
P5802421,P01A,936,0000,5.1
P5802421,P04A,222,0000,4
P5802421,P04A,223,0000,31
P5802421,P04A,224,0000,19
P5802421,P04A,236,0000,5.9
P5802421,P04A,248,0000,1752003
P5802421,P04A,259,0000,37
P5802421,P04A,922,0000,4
P5802421,P04A,923,0000,29
P5802421,P04A,924,0000,30
P5802421,P04A,936,0000,5.8
P5802421,P05A,222,0000,15
P5802421,P05A,223,0000,30
P5802421,P05A,224,0000,7
P5802421,P05A,236,0000,4.9
P5802421,P05A,248,0000,1777936
P5802421,P05A,259,0000,36
P5802421,P05A,922,0000,15
P5802421,P05A,923,0000,30
P5802421,P05A,924,0000,5
P5802421,P05A,936,0000,5
P5802421,P101,222,0000,2
P5802421,P101,223,0000,32
P5802421,P101,224,0000,0
P5802421,P101,236,0000,7.2
P5802421,P101,237,0000,8
P5802421,P101,248,0000,104442
P5802421,P101,259,0000,148
P5802421,P101,922,0000,2
P5802421,P101,923,0000,34
P5802421,P101,924,0000,0
P5802421,P101,936,0000,7.4
P5802421,P101,937,0000,8
P5802421,P201,222,0000,0
P5802421,P201,223,0000,10
P5802421,P201,224,0000,0
P5802421,P201,236,0000,5.4
P5802421,P201,237,0000,8
P5802421,P201,248,0000,124279
P5802421,P201,259,0000,152
P5802421,P201,922,0000,0
P5802421,P201,923,0000,9
P5802421,P201,924,0000,0
P5802421,P201,936,0000,5.4
P5802421,P201,937,0000,8
P5802421,P301,222,0000,11
P5802421,P301,223,0000,21
P5802421,P301,224,0000,0
P5802421,P301,236,0000,5.9
P5802421,P301,237,0000,8
P5802421,P301,248,0000,114311
P5802421,P301,259,0000,156
P5802421,P301,922,0000,11
P5802421,P301,923,0000,21
P5802421,P301,924,0000,0
P5802421,P301,936,0000,5.9
P5802421,P301,937,0000,8
P5802421,P401,222,0000,0
P5802421,P401,223,0000,12
P5802421,P401,224,0000,1
P5802421,P401,236,0000,4.8
P5802421,P401,237,0000,8
P5802421,P401,248,0000,125320
P5802421,P401,259,0000,162
P5802421,P401,922,0000,0
P5802421,P401,923,0000,9
P5802421,P401,924,0000,1
P5802421,P401,936,0000,4.9
P5802421,P401,937,0000,8
P5802421,P701,222,0000,0
P5802421,P701,223,0000,34
P5802421,P701,224,0000,9
P5802421,P701,236,0000,2
P5802421,P701,237,0000,13
P5802421,P701,248,0000,581059
P5802421,P701,259,0000,63
P5802421,P701,922,0000,0
P5802421,P701,923,0000,33
P5802421,P701,924,0000,9
P5802421,P701,936,0000,2
P5802421,P701,937,0000,13
P5802421,P801,222,0000,3
P5802421,P801,223,0000,30
P5802421,P801,224,0000,19
P5802421,P801,236,0000,2
P5802421,P801,237,0000,13
P5802421,P801,248,0000,572262
P5802421,P801,259,0000,62
P5802421,P801,922,0000,4
P5802421,P801,923,0000,27
P5802421,P801,924,0000,18
P5802421,P801,936,0000,2
P5802421,P801,937,0000,12
P5802421,PC01,222,0000,0
P5802421,PC01,223,0000,14
P5802421,PC01,224,0000,0
P5802421,PC01,236,0000,4.3
P5802421,PC01,237,0000,18
P5802421,PC01,248,0000,278555
P5802421,PC01,259,0000,163
P5802421,PC01,922,0000,0
P5802421,PC01,923,0000,14
P5802421,PC01,924,0000,0
P5802421,PC01,936,0000,4.2
P5802421,PC01,937,0000,18
P5802421,PD01,222,0000,0
P5802421,PD01,223,0000,13
P5802421,PD01,224,0000,0
P5802421,PD01,236,0000,4.3
P5802421,PD01,237,0000,18
P5802421,PD01,248,0000,249345
P5802421,PD01,259,0000,164
P5802421,PD01,922,0000,0
P5802421,PD01,923,0000,13
P5802421,PD01,924,0000,0
P5802421,PD01,936,0000,4.3
P5802421,PD01,937,0000,18
P5802421,PE01,222,0000,0
P5802421,PE01,223,0000,15
P5802421,PE01,224,0000,0
P5802421,PE01,236,0000,5.4
P5802421,PE01,237,0000,18
P5802421,PE01,248,0000,-
P5802421,PE01,259,0000,160
P5802421,PE01,922,0000,0
P5802421,PE01,923,0000,15
P5802421,PE01,924,0000,0
P5802421,PE01,936,0000,5.4
P5802421,PE01,937,0000,18
P5802421,PQ01,222,0000,-
P5802421,PQ01,223,0000,-
P5802421,PQ01,224,0000,-
P5802421,PQ01,236,0000,-
P5802421,PQ01,237,0000,-
P5802421,PQ01,248,0000,-
P5802421,PQ01,259,0000,-
P5802421,PQ01,922,0000,-
P5802421,PQ01,923,0000,-
P5802421,PQ01,924,0000,-
P5802421,PQ01,936,0000,-
P5802421,PQ01,937,0000,-
P5802421,PS01,222,0000,8
P5802421,PS01,223,0000,11
P5802421,PS01,224,0000,11
P5802421,PS01,236,0000,6.3
P5802421,PS01,248,0000,408757
P5802421,PS01,259,0000,116
P5802421,PS01,911,0000,5.3
P5802421,PS01,922,0000,4
P5802421,PS01,923,0000,11
P5802421,PS01,924,0000,12
P5802421,PS01,936,0000,6.5
P5802421,PT01,222,0000,-
P5802421,PT01,223,0000,-
P5802421,PT01,224,0000,-
P5802421,PT01,236,0000,-
P5802421,PT01,248,0000,-
P5802421,PT01,259,0000,-
P5802421,PT01,911,0000,-
P5802421,PT01,922,0000,-
P5802421,PT01,923,0000,-
P5802421,PT01,924,0000,-
P5802421,PT01,936,0000,-
P5802421,AR02,980,0000,0
P5802421,AR02,280,0000,0
P5802421,AR03,980,0000,0
P5802421,AR03,280,0000,0
P5802421,AR04,980,0000,0
P5802421,AR04,280,0000,0
P5802421,AR05,980,0000,0
P5802421,AR05,280,0000,0
P5802421,AR06,980,0000,0
P5802421,AR06,280,0000,0
P5802430,PA01,222,0000,-
P5802430,PA01,223,0000,-
P5802430,PA01,224,0000,-
P5802430,PA01,236,0000,-
P5802430,PA01,248,0000,-
P5802430,PA01,259,0000,-
P5802430,PB01,222,0000,9.97
P5802430,PB01,223,0000,28.63
P5802430,PB01,224,0000,13.91
P5802430,PB01,236,0000,4.58
P5802430,PB01,248,0000,371862.56
P5802430,PB01,259,0000,55.66
P5802430,PC01,222,0000,8.78
P5802430,PC01,223,0000,36.85
P5802430,PC01,224,0000,22.13
P5802430,PC01,236,0000,5.62
P5802430,PC01,248,0000,396518.9
P5802430,PC01,259,0000,54.74
P5802430,PD01,222,0000,10.94
P5802430,PD01,223,0000,37.29
P5802430,PD01,224,0000,9.21
P5802430,PD01,236,0000,3.9
P5802430,PD01,248,0000,482707.75
P5802430,PD01,259,0000,51.65
P5802430,PE01,222,0000,13.81
P5802430,PE01,223,0000,35.41
P5802430,PE01,224,0000,68.63
P5802430,PE01,236,0000,5.54
P5802430,PE01,248,0000,439379.62
P5802430,PE01,259,0000,54.92
P4600987,P001,222,0000,19
P4600987,P001,223,0000,159
P4600987,P001,236,0000,5.6
P4600987,P001,248,0000,53271
P4600987,P001,259,0000,39
P4600987,P002,222,0000,21
P4600987,P002,223,0000,133
P4600987,P002,236,0000,6.2
P4600987,P002,248,0000,91381
P4600987,P002,259,0000,40
P5802074,P001,911,0006,1.63
P5802074,P002,911,0006,1.37
P5802092,PG01,911,0006,10.3
P5802092,PG02,911,0006,5.8
P5802421,P01A,911,0006,12.5
P5802421,P04A,911,0006,7.2
P5802421,P05A,911,0006,9.6
P5802421,P101,911,0006,2.8
P5802421,P201,911,0006,3.7
P5802421,P301,911,0006,2.9
P5802421,P401,911,0006,6.1
P5802421,P701,911,0006,90.1
P5802421,P801,911,0006,89.6
P5802421,PC01,911,0006,1.8
P5802421,PD01,911,0006,2.8
P5802421,PE01,911,0006,2.2
P5802421,PQ01,911,0006,-
P5802430,PA01,911,0006,-
P5802430,PB01,911,0006,13.96
P5802430,PC01,911,0006,10.45
P5802430,PD01,911,0006,6.35
P5802430,PE01,911,0006,12.73
P4600987,P001,911,0006,2.5
P4600987,P002,911,0006,4
P5801719,P101,911,0006,5.9
P5801719,P201,911,0006,6.5
P5801719,P401,911,0006,14.6
P5801728,P201,911,0006,-
P5801728,P301,911,0006,-
P5801728,P401,911,0006,12.3
P5801728,P501,911,0006,12.6
P5801728,P601,911,0006,13.7
P5801728,P701,911,0006,-
P5802421,PS01,911,0006,5.1
P5802421,PT01,911,0006,-
P6201053,P001,911,0006,6
P6201053,P002,911,0006,2
P4600987,P001,911,0012,2.4
P4600987,P002,911,0012,3.8
P5801719,P101,911,0012,5.8
P5801719,P201,911,0012,6.3
P5801719,P401,911,0012,13.6
P5801728,P201,911,0012,-
P5801728,P301,911,0012,-
P5801728,P401,911,0012,12.9
P5801728,P501,911,0012,12.6
P5801728,P601,911,0012,13.7
P5801728,P701,911,0012,-
P5802074,P001,911,0012,1.49
P5802074,P002,911,0012,0.88
P5802092,PG01,911,0012,10.4
P5802092,PG02,911,0012,5.9
P5802421,P01A,911,0012,12.6
P5802421,P04A,911,0012,6.9
P5802421,P05A,911,0012,8.6
P5802421,P101,911,0012,2.9
P5802421,P201,911,0012,3.7
P5802421,P301,911,0012,2.9
P5802421,P401,911,0012,6.1
P5802421,P701,911,0012,90.1
P5802421,P801,911,0012,89.6
P5802421,PC01,911,0012,1.8
P5802421,PD01,911,0012,2.8
P5802421,PE01,911,0012,2.2
P5802421,PQ01,911,0012,-
