2016-07-17,1468684800,,,
G3200778,P101,911,0000,4.60
G3200778,P102,911,0000,5.00
G3200778,P202,911,0000,9.50
G3200778,P301,911,0000,13.80
G3200778,P302,911,0000,6.00
G4100017,P002,911,0000,3.70
G4100017,P002,923,0000,106.00
G4100017,P002,936,0000,10.20
G4100017,P004,911,0000,0.60
G3700791,P105,911,0000,15.80
G3700791,P105,922,0000,5.00
G3700791,P105,923,0000,42.00
G3700791,P105,936,0000,6.80
G3700791,P115,911,0000,9.40
G3700791,P115,922,0000,6.00
G3700791,P115,923,0000,45.00
G3700791,P115,936,0000,7.20
G32A0540,P001,911,0000,2.10
G3801239,P001,911,0000,1.50
G3801239,P002,911,0000,1.40
G3200778,P101,911,0006,4.50
G3200778,P102,911,0006,5.10
G3200778,P202,911,0006,9.70
G3200778,P301,911,0006,11.80
G3200778,P302,911,0006,6.10
G3200849,P201,911,0006,3.00
G3200849,P203,911,0006,3.00
G3200849,P301,911,0006,8.50
G3200849,P304,911,0006,3.70
G4100017,P002,911,0006,1.70
G4100017,P004,911,0006,0.00
G3700791,P105,911,0006,15.90
G3700791,P115,911,0006,9.40
G32A0540,P001,911,0006,2.10
G3801239,P001,911,0006,1.50
G3801239,P002,911,0006,1.40
