2016-10-02,1475337600,,,
F0701702,P001,911,0000,0.00
F0701702,P002,923,0000,220.00
F0703948,P001,922,0000,3.00
F0703948,P001,924,0000,14.00
F0703948,P002,922,0000,3.00
F0703948,P002,924,0000,11.00
F1600491,P901,911,0000,10.00
F1600491,P901,923,0000,214.00
F1700736,P601,923,0000,0.00
F1700736,P701,922,0000,2.00
F2300972,P101,924,0000,3.00
F2300972,P201,911,0000,1.80
F2300972,P301,924,0000,10.00
F0701702,P001,923,0000,0.00
F0701702,P002,911,0000,11.30
F0703948,P003,922,0000,2.00
F0703948,P003,924,0000,11.00
F1600491,P501,911,0000,7.20
F1600491,P501,923,0000,0.00
F1700736,P701,923,0000,8.00
F2300972,P101,923,0000,84.00
F2300972,P301,911,0000,2.40
F0703948,P001,911,0000,0.70
F0703948,P001,923,0000,122.00
F0703948,P002,911,0000,0.90
F0703948,P002,923,0000,124.00
F1600491,P901,922,0000,22.00
F1700736,P601,911,0000,4.10
F2300972,P101,922,0000,3.00
F2300972,P201,922,0000,3.00
F2300972,P201,924,0000,2.00
F2300972,P301,923,0000,83.00
F0701702,P001,922,0000,0.00
F0701702,P002,922,0000,25.00
F0703948,P003,911,0000,2.40
F0703948,P003,923,0000,119.00
F1600491,P501,922,0000,0.00
F1700736,P601,922,0000,0.00
F1700736,P701,911,0000,1.60
F2300972,P101,911,0000,2.10
F2300972,P201,923,0000,89.00
F2300972,P301,922,0000,11.00
F0701702,P001,911,0006,0.00
F1600491,P901,911,0006,10.00
F2300972,P201,911,0006,1.80
F0501686,P002,911,0006,1.10
F0701702,P002,911,0006,11.30
F1600491,P501,911,0006,7.10
F2300972,P301,911,0006,2.40
F0501686,P001,911,0006,0.70
F0703948,P001,911,0006,0.70
F0703948,P002,911,0006,0.90
F1700736,P601,911,0006,4.00
F0703948,P003,911,0006,2.40
F1700736,P701,911,0006,1.60
F2300972,P101,911,0006,2.20
F0701702,P001,911,0012,0.00
F1600491,P901,911,0012,10.20
F2300972,P201,911,0012,1.80
F0501686,P002,911,0012,1.10
F0701702,P002,911,0012,11.30
F1600491,P501,911,0012,7.10
F2300972,P301,911,0012,2.40
F0501686,P001,911,0012,0.70
F0703948,P001,911,0012,0.70
F0703948,P002,911,0012,0.90
F1700736,P601,911,0012,4.00
F0703948,P003,911,0012,2.40
F1700736,P701,911,0012,1.60
F2300972,P101,911,0012,2.10
F0501686,P001,924,0015,28.00
F0701702,P002,923,0015,227.00
F0703948,P001,922,0015,3.00
F0703948,P001,924,0015,19.00
F0703948,P002,922,0015,3.00
F0703948,P002,924,0015,16.00
F1600491,P901,923,0015,213.00
F1700736,P601,923,0015,0.00
F1700736,P701,922,0015,2.00
F0501686,P001,922,0015,7.00
F0501686,P001,923,0015,64.00
F0501686,P002,923,0015,0.00
F0701702,P001,923,0015,0.00
F0703948,P003,922,0015,3.00
F0703948,P003,924,0015,9.00
F1600491,P501,923,0015,0.00
F1700736,P701,923,0015,9.00
F0501686,P002,922,0015,4.00
F0703948,P001,923,0015,104.00
F0703948,P002,923,0015,105.00
F1600491,P901,922,0015,23.00
F0501686,P002,924,0015,0.00
F0701702,P001,922,0015,0.00
F0701702,P002,922,0015,25.00
F0703948,P003,923,0015,116.00
F1600491,P501,922,0015,0.00
F1700736,P601,922,0015,0.00
F0701702,P001,911,0018,0.00
F1600491,P901,911,0018,10.10
F2300972,P201,911,0018,1.70
F0501686,P002,911,0018,1.10
F0701702,P002,911,0018,11.30
F1600491,P501,911,0018,7.10
F2300972,P301,911,0018,2.30
F0501686,P001,911,0018,0.70
F0703948,P001,911,0018,0.70
F0703948,P002,911,0018,0.90
F1700736,P601,911,0018,4.00
F0703948,P003,911,0018,2.40
F1700736,P701,911,0018,1.60
F2300972,P101,911,0018,2.20
F0701702,P001,911,0024,0.00
F1600491,P901,911,0024,10.00
F0501686,P002,911,0024,1.10
F0701702,P002,911,0024,11.30
F1600491,P501,911,0024,7.10
F0501686,P001,911,0024,0.60
F0703948,P001,911,0024,0.70
F0703948,P002,911,0024,0.90
F1700736,P601,911,0024,4.00
F0703948,P003,911,0024,2.40
F1700736,P701,911,0024,1.60
F0501686,P001,924,0030,21.00
F0701702,P001,911,0030,0.00
F0701702,P002,923,0030,208.00
F0703948,P001,922,0030,3.00
F0703948,P001,924,0030,22.00
F0703948,P002,922,0030,3.00
F0703948,P002,924,0030,20.00
F1600491,P901,911,0030,10.00
F1600491,P901,923,0030,210.00
F1700736,P601,923,0030,1.00
F1700736,P701,922,0030,1.00
F0501686,P001,922,0030,6.00
F0501686,P001,923,0030,61.00
F0501686,P002,911,0030,1.10
F0501686,P002,923,0030,0.00
F0701702,P001,923,0030,0.00
F0701702,P002,911,0030,11.30
F0703948,P003,922,0030,2.00
F0703948,P003,924,0030,8.00
F1600491,P501,911,0030,7.20
F1600491,P501,923,0030,0.00
F1700736,P701,923,0030,8.00
F0501686,P001,911,0030,0.70
F0501686,P002,922,0030,2.00
F0703948,P001,911,0030,0.70
F0703948,P001,923,0030,96.00
F0703948,P002,911,0030,0.90
F0703948,P002,923,0030,100.00
F1600491,P901,922,0030,24.00
F1700736,P601,911,0030,4.00
F0501686,P002,924,0030,0.00
F0701702,P001,922,0030,0.00
F0701702,P002,922,0030,25.00
F0703948,P003,911,0030,2.40
F0703948,P003,923,0030,121.00
F1600491,P501,922,0030,0.00
F1700736,P601,922,0030,0.00
F1700736,P701,911,0030,1.60
F0701702,P001,911,0036,0.00
F1600491,P901,911,0036,10.00
F0501686,P002,911,0036,1.10
F0701702,P002,911,0036,11.30
F1600491,P501,911,0036,7.10
