2015-11-15,1447516800,,,
S1900685,P002,911,0000,15.8,10,N
S1900685,P421,911,0000,10.4,10,N
S1900685,P411,911,0000,5,10,N
S2300438,P001,911,0006,5,10,N
E5601197,P002,911,0006,3.5,10,N
E5601197,P003,911,0006,3.1,10,N
E5600332,P001,911,0006,3.7,10,N
E5600332,P002,911,0006,3,10,N
E5600332,P003,911,0006,3.6,10,N
E5600850,PC01,911,0006,5.9,10,N
S1602755,P101,911,0006,4.6,10,N
S1602755,P201,911,0006,5.1,10,N
S1602755,P301,911,0006,0,00,N
E4900744,P001,911,0006,9.6,10,N
E4900744,P002,911,0006,5.9,10,N
E4900744,P023,911,0006,0,00,N
E5600056,P004,911,0012,2.7,10,N
E5600056,P006,911,0012,2.2,00,N
E5600056,P007,911,0012,3,10,N
E5600056,P008,911,0012,2.2,00,N
E5600056,P009,911,0012,3,10,N
E5600056,P016,911,0012,3.3,10,N
E5600056,P017,911,0012,2.5,10,N
E5600056,P018,911,0012,4.7,00,N
E5600056,P021,911,0012,3,10,N
E5600056,P022,911,0012,3.1,10,N
E5600056,P023,911,0012,1.3,10,N
E5600056,P024,911,0012,5.9,10,N
E5600869,P001,911,0006,4.8,10,N
S2202553,P001,911,0006,0,00,N
S2202553,P002,911,0006,1.7,10,N
S2202553,P003,911,0006,2,10,N
S2300438,P001,922,0000,0,10,N
S2300438,P001,923,0000,38,10,N
S2300438,P001,936,0000,5.2,10,N
S2300401,P011,911,0006,12.2,10,N
S2300429,P701,911,0006,0.3,00,N
S2300429,PF01,911,0006,4.7,10,N
S1900710,P070,911,0012,5.8,10,N
S1900710,P015,911,0012,0,00,N
S1900710,P050,911,0012,3.9,10,N
S1900710,P056,911,0012,4.7,10,N
S1900710,P060,911,0012,2.7,10,N
S1602755,P101,922,0000,2,10,N
S1602755,P201,922,0000,2,10,N
S1602755,P301,922,0000,0,00,N
S1602755,P101,923,0000,65,10,N
S1602755,P201,923,0000,75,10,N
S1602755,P301,923,0000,0,00,N
S1602755,P101,924,0000,10,10,N
S1602755,P201,924,0000,2,10,N
S1602755,P301,924,0000,0,00,N
S1602755,P101,926,0000,6,10,N
S1602755,P201,926,0000,13,10,N
S1602755,P301,926,0000,0,00,N
S1602755,P101,936,0000,9.2,10,N
S1602755,P201,936,0000,12.1,10,N
S1602755,P301,936,0000,0,00,N
E5600056,P004,922,0015,11,10,N
E5600056,P004,923,0015,46,10,N
E5600056,P004,924,0015,3,10,N
E5600056,P004,936,0015,7.4,10,N
E5600056,P006,922,0015,0,00,N
E5600056,P006,923,0015,0,00,N
E5600056,P006,924,0015,0,00,N
E5600056,P006,936,0015,21,00,N
E5600056,P007,922,0015,1,10,N
E5600056,P007,923,0015,16,10,N
E5600056,P007,924,0015,1,10,N
E5600056,P007,936,0015,4.8,10,N
E5600056,P008,922,0015,0,00,N
E5600056,P008,923,0015,0,00,N
E5600056,P008,924,0015,0,00,N
E5600056,P008,936,0015,21.2,00,N
E5600056,P016,922,0015,0,10,N
E5600056,P016,923,0015,54,10,N
E5600056,P016,936,0015,15.8,10,N
E5600056,P017,922,0015,1,10,N
E5600056,P017,923,0015,20,10,N
E5600056,P017,924,0015,1,10,N
E5600056,P017,936,0015,3.5,10,N
E5600056,P018,922,0015,0,00,N
E5600056,P018,923,0015,0,00,N
E5600056,P018,924,0015,0,00,N
E5600056,P018,936,0015,20.6,00,N
E5600056,P021,922,0015,0,10,N
E5600056,P021,923,0015,43,10,N
E5600056,P021,924,0015,0,10,N
E5600056,P021,936,0015,4.9,10,N
E5600056,P024,922,0015,3,10,N
E5600056,P024,923,0015,15,10,N
E5600056,P024,924,0015,2,10,N
E5600056,P024,936,0015,6.5,10,N
E5600056,P034,922,0015,0,00,N
E5600056,P034,923,0015,0,00,N
E5600056,P034,936,0015,19.8,00,N
E5600850,PC01,923,0000,108,31,N
E5600850,PC01,924,0000,5.1,31,N
E5600850,PC01,936,0000,12.8,31,N
E5600850,PC01,926,0000,0.5,31,N
S1900685,P002,911,0006,15.7,10,N
S1900685,P421,911,0006,10.5,10,N
S1900685,P411,911,0006,5,10,N
S2300438,P001,911,0012,5,10,N
E4900744,P001,923,0000,310,10,N
E4900744,P023,923,0000,0,00,N
E4900744,P001,936,0000,12.3,10,N
E4900744,P023,936,0000,0,00,N
E5600869,P001,922,0000,109,10,N
E5600869,P001,923,0000,98,10,N
E5600869,P001,936,0000,7.3,10,N
S1900710,P070,923,0015,20,10,N
S1900710,P070,936,0015,8.9,10,N
S1900710,P070,922,0015,15,10,N
S1900710,P015,923,0015,0,00,N
S1900710,P015,936,0015,0,00,N
S1900710,P015,922,0015,0,00,N
S1900710,P050,923,0015,104,10,N
