CNO,POLNO,ITEM,STD
S1400170,P015,248,999999
S1602755,P101,211,10
S1602755,P101,222,30
S1602755,P101,223,105
S1602755,P101,236,0
S1602755,P101,248,0
S1602755,P101,224,80
S1602755,P101,226,25
S1602755,P201,211,10
S1602755,P201,222,30
S1602755,P201,223,105
S1602755,P201,224,80
S1602755,P201,226,25
S1602755,P201,236,0
S1602755,P201,248,0
S1602755,P301,211,10
S1602755,P301,222,30
S1602755,P301,223,105
S1602755,P301,224,80
S1602755,P301,226,25
S1602755,P301,236,0
S1602755,P301,248,0
S2202553,P003,236,0
S2202553,P002,236,0
S2202553,P002,248,0
S2202553,P003,248,0
S2005081,P401,211,20
S2005081,P401,222,80
S2005081,P401,223,125
S2005081,P401,236,0
S2005081,P401,248,0
S1900710,P047,211,20
S1900710,P047,222,250
S1900710,P047,223,200
S1900710,P047,236,0
S1900710,P047,248,0
S1900710,P048,211,20
S1900710,P048,222,250
S1900710,P049,211,20
S1900710,P050,211,20
S1900710,P056,211,20
S1900710,P015,211,20
S1900710,P049,222,250
S1900710,P050,222,250
S1900710,P056,222,250
S1900710,P015,222,450
S1900710,P048,223,200
S1900710,P049,223,200
S1900710,P050,223,200
S1900710,P056,223,150
S1900710,P015,223,130
S1900710,P048,236,0
S1900710,P049,236,0
S1900710,P050,236,0
S1900710,P056,236,0
S1900710,P015,236,0
S1900710,P048,248,0
S1900710,P049,248,0
S1900710,P050,248,0
S1900710,P056,248,0
S1900710,P015,248,0
S1601990,P049,211,10
S2001314,P004,211,20
S2001314,P004,248,0
S2005081,P401,259,0
S2300438,P001,211,20
S2300438,P001,222,250
S2300438,P001,223,200
S2300438,P001,248,0
S2300438,P001,236,0
S3200688,P504,211,20
S3200688,P604,211,20
S3200688,P704,211,20
S3200688,P804,211,20
S3200688,P904,211,20
S3200688,P504,222,20
S3200688,P604,222,20
S3200688,P704,222,20
S3200688,P804,222,20
S3200688,P904,222,20
S3200688,P504,223,40
S3200688,P604,223,40
S3200688,P704,223,40
S3200688,P804,223,40
S3200688,P904,223,40
S3200688,P504,236,0
S3200688,P604,236,0
S3200688,P704,236,0
S3200688,P804,236,0
S3200688,P904,236,0
S3200688,P504,248,0
S3200688,P604,248,0
S3200688,P704,248,0
S3200688,P804,248,0
S3200688,P904,248,0
S3200688,P504,259,0
S3200688,P604,259,0
S3200688,P704,259,0
S3200688,P804,259,0
S3200688,P904,259,0
S2300429,P701,211,20
S2300429,P701,222,300
S2300429,P701,223,250
S1901066,P004,211,20
S1901066,P004,222,300
S1901066,P004,223,250
S1900587,P001,211,20
S1900587,P001,222,300
S1900587,P001,223,250
S1900587,P005,211,20
S1900587,P005,222,300
S1900587,P005,223,250
S1900569,P002,211,20
S1900569,P002,222,250
S1900569,P002,223,200
S1900569,P002,248,0
S1900569,P002,236,0
S1900569,P002,259,0
S1900587,P001,236,25
S1900587,P001,248,999999
S1900587,P001,259,200
S1900587,P005,236,25
S1900587,P005,248,999999
S1900587,P005,259,200
S1901066,P004,236,0
S1901066,P004,248,0
S1901066,P004,259,0
S2300429,P701,236,0
S2300429,P701,248,0
S2300429,P701,259,200
S2300438,P001,259,0
S2001314,P004,222,50
S2001314,P004,223,100
S2001314,P004,236,0
S2001314,P004,259,0
S1900685,P002,211,20
S1900710,P060,211,20
S1900710,P060,222,40
S1900710,P060,223,40
S1900710,P060,236,0
S1900710,P060,248,0
S2300429,PF01,211,20
S2300429,PF01,222,50
S2300429,PF01,223,100
S2300429,PF01,236,0
S2300429,PF01,248,0
S2300401,P011,237,99
S1901066,P001,248,0
S2100223,P015,211,20
S2100223,P015,222,100
S2100223,P015,223,200
S2100223,P015,236,0
S2100223,P015,248,0
S2100223,P015,259,0
E5600841,P004,236,0
E5600841,P004,248,0
E5600841,P004,259,0
E5600841,P005,211,20
E5600841,P005,222,250
E5600841,P005,223,200
E5600841,P005,236,0
E5600841,P005,248,0
E5600841,P005,259,0
E5600841,P006,211,20
E5600841,P006,222,200
E5600841,P006,223,250
E5600841,P006,236,0
E5600841,P006,248,0
E5600841,P006,259,0
E5600841,P007,211,20
E5600841,P007,222,200
E5600841,P007,223,250
E5600841,P007,236,0
E5600841,P007,248,0
E5600841,P007,259,0
E5600841,P008,211,20
E5600841,P008,222,200
E5600841,P008,223,250
E5600841,P008,236,0
E5600841,P008,248,0
E5600841,P008,259,0
E5600841,P009,211,20
E5600841,P009,222,250
E5600841,P009,223,200
E5600841,P009,236,0
E5600841,P009,248,0
E5600841,P009,259,0
E5600841,P010,211,20
E5600841,P010,222,250
E5600841,P010,223,200
E5600841,P010,236,0
E5600841,P010,248,0
E5600841,P010,259,0
E5600841,P002,211,20
E5600841,P002,222,250
E5600841,P002,223,200
E5600841,P002,236,0
E5600841,P002,248,0
E5600841,P002,259,0
E5600841,P003,211,20
E5600841,P003,222,250
E5600841,P003,223,200
E5600841,P003,236,0
E5600841,P003,248,0
E5600841,P003,259,0
E5600841,P004,211,20
E5600841,P004,222,250
E5600841,P004,223,200
E5600896,P001,222,200
E5600896,P001,223,300
E5600896,P001,236,0
E5600896,P001,248,0
E5600896,P001,259,0
E5600896,P002,211,20
E5600896,P002,222,200
E5600896,P002,223,300
E5600896,P002,236,0
E5600896,P001,211,20
E5600896,P002,248,0
E5600896,P002,259,0
E5400252,P001,211,10
E5400878,P001,211,20
E5400878,P001,222,20
E5400878,P001,223,40
E5400878,P001,236,0
E5400878,P001,248,0
E5400878,P001,259,0
E5400878,P002,211,20
E5400878,P002,222,20
E5400878,P002,223,40
E5400878,P002,236,0
E5400878,P002,248,0
E5400878,P002,259,0
E5400878,P003,211,20
E5400878,P003,222,20
E5400878,P003,223,40
E5400878,P003,236,0
E5400878,P003,248,0
E5400878,P003,259,0
E5600332,P001,211,10
E5600896,P004,211,20
E5600896,P004,222,250
E5600896,P004,223,200
E5600896,P004,236,0
E5600896,P004,248,0
E5600896,P004,259,0
E5600896,P005,211,20
E5600896,P005,222,250
E5600896,P005,223,200
E5600896,P005,236,0
E5600896,P005,248,0
E5600896,P005,259,0
E4900333,P001,211,20
E4900333,P001,222,30
E4900333,P001,223,75
E4900333,P001,236,0
E4900333,P001,248,0
E4900333,P001,259,0
E4900333,P003,211,20
E4900333,P003,222,250
E4900333,P003,223,200
E4900333,P003,236,0
E4900333,P003,248,0
E4900333,P003,259,0
E4900744,P001,223,450
E4900744,P001,236,0
E4900744,P001,248,0
E4900744,P001,259,0
E4900744,P002,211,20
E4900744,P023,211,20
E5600332,P002,211,10
E4900744,P023,223,450
E4900744,P023,236,0
E4900744,P023,248,0
E4900744,P023,259,0
E4800221,P002,211,20
E4900744,P001,211,20
E4800221,P002,223,650
E4800221,P002,236,0
E4800221,P002,248,0
E4800221,P002,259,0
E4800221,P005,211,20
E4800221,P005,223,650
E4800221,P005,236,0
E4800221,P005,248,0
E4800221,P005,259,0
E5600841,P001,211,20
E5600841,P001,222,250
E5600841,P001,223,200
E5600841,P001,236,0
E5600841,P001,248,0
E5600841,P001,259,0
E5600789,P001,211,10
E5600896,P007,211,20
E5600896,P007,222,60
E5600896,P007,223,100
E5600896,P007,236,0
E5600896,P007,248,0
E5600896,P007,259,0
E5600896,P008,211,20
E5600896,P008,222,60
E5600896,P008,223,100
E5600896,P008,236,0
E5600896,P008,248,0
E5600896,P008,259,0
E4800221,P019,211,20
E4800221,P019,223,650
E4800221,P019,236,0
E4800221,P019,248,0
E4800221,P019,259,0
E4800221,P006,211,10
E5600841,PC23,222,100
E5601197,P002,211,10
E5600056,P024,211,20
E5601197,P003,211,10
E5600841,PC23,223,150
E5600841,PC23,211,20
E5600056,P024,222,200
E5600056,P024,223,200
E5600841,PC23,236,0
E5600841,PC23,248,0
E5600056,P024,236,0
E5600056,P024,248,0
E5600056,P024,259,0
E5600841,PC23,259,0
E5600841,PR62,211,20
E5600841,PR54,211,20
E5600841,PR54,222,200
E5600841,PR54,223,200
E5600841,PR54,236,0
