2017-09-08,1504800000,,,
A4200130,P001,922,,--
A4200130,P001,923,,--
A4200130,P001,924,,--
A4200130,P001,926,,--
A4200130,P001,936,,--
A4200130,P002,922,,--
A4200130,P002,923,,--
A4200130,P002,924,,--
A4200130,P002,926,,--
A4200130,P002,936,,--
A4200130,P003,922,,--
A4200130,P003,923,,--
A4200130,P003,924,,--
A4200130,P003,926,,--
A4200130,P003,936,,--
A4000283,P001,922,,--
A4000283,P001,923,,--
A4000283,P001,924,,--
A4000283,P001,926,,--
A4000283,P001,936,,--
A4000283,P002,922,,--
A4000283,P002,923,,--
A4000283,P002,924,,--
A4000283,P002,926,,--
A4000283,P002,936,,--
A4000283,P003,922,,--
A4000283,P003,923,,--
A4000283,P003,924,,--
A4000283,P003,926,,--
A4000283,P003,936,,--
A4000283,P004,922,,--
A4000283,P004,923,,--
A4000283,P004,924,,--
A4000283,P004,926,,--
A4000283,P004,936,,--
A4200130,P001,911,0000,1.40
A4200130,P002,911,0000,2.80
A4200130,P003,911,0000,1.30
A4000283,P001,911,0000,0.00
A4000283,P002,911,0000,5.80
A4000283,P003,911,0000,2.40
A4000283,P004,911,0000,2.70
A4200130,P001,922,0000,0.00
A4200130,P001,923,0000,0.00
A4200130,P001,924,0000,0.00
A4200130,P001,926,0000,0.00
A4200130,P001,936,0000,23.80
A4200130,P002,922,0000,6.00
A4200130,P002,923,0000,54.00
A4200130,P002,924,0000,2.00
A4200130,P002,926,0000,26.00
A4200130,P002,936,0000,8.40
A4200130,P003,922,0000,5.00
A4200130,P003,923,0000,88.00
A4200130,P003,924,0000,6.00
A4200130,P003,926,0000,18.00
A4200130,P003,936,0000,10.30
A4000283,P001,922,0000,0.00
A4000283,P001,923,0000,0.00
A4000283,P001,924,0000,0.00
A4000283,P001,926,0000,0.00
A4000283,P001,936,0000,0.00
A4000283,P002,922,0000,3.00
A4000283,P002,923,0000,82.00
A4000283,P002,924,0000,10.00
A4000283,P002,926,0000,5.00
A4000283,P002,936,0000,12.90
A4000283,P003,922,0000,1.00
A4000283,P003,923,0000,51.00
A4000283,P003,924,0000,23.00
A4000283,P003,926,0000,5.00
A4000283,P003,936,0000,10.00
A4000283,P004,922,0000,1.00
A4000283,P004,923,0000,67.00
A4000283,P004,924,0000,3.00
A4000283,P004,926,0000,1.00
A4000283,P004,936,0000,12.10
A4200130,P001,911,0006,1.20
A4200130,P002,911,0006,2.80
A4200130,P003,911,0006,1.30
A4000283,P001,911,0006,0.00
A4000283,P002,911,0006,6.10
A4000283,P003,911,0006,2.60
A4000283,P004,911,0006,2.80
A4000283,P001,911,0012,0.00
A4000283,P002,911,0012,5.30
A4000283,P003,911,0012,2.30
A4000283,P004,911,0012,2.60
A4200130,P001,911,0012,1.10
A4200130,P002,911,0012,2.70
A4200130,P003,911,0012,1.30
A4000283,P001,922,0015,0.00
A4000283,P001,923,0015,0.00
A4000283,P001,924,0015,0.00
A4000283,P001,926,0015,0.00
A4000283,P001,936,0015,0.00
A4000283,P002,922,0015,3.00
A4000283,P002,923,0015,58.00
A4000283,P002,924,0015,10.00
A4000283,P002,926,0015,5.00
A4000283,P002,936,0015,13.10
A4000283,P003,922,0015,1.00
A4000283,P003,923,0015,50.00
A4000283,P003,924,0015,81.00
A4000283,P003,926,0015,6.00
A4000283,P003,936,0015,9.80
A4000283,P004,922,0015,1.00
A4000283,P004,923,0015,71.00
A4000283,P004,924,0015,3.00
A4000283,P004,926,0015,5.00
A4000283,P004,936,0015,11.70
A4200130,P001,922,0015,0.00
A4200130,P001,923,0015,0.00
A4200130,P001,924,0015,0.00
A4200130,P001,926,0015,0.00
A4200130,P001,936,0015,23.80
A4200130,P002,922,0015,6.00
A4200130,P002,923,0015,80.00
A4200130,P002,924,0015,2.00
A4200130,P002,926,0015,32.00
A4200130,P002,936,0015,10.00
A4200130,P003,922,0015,10.00
A4200130,P003,923,0015,86.00
A4200130,P003,924,0015,6.00
A4200130,P003,926,0015,26.00
A4200130,P003,936,0015,9.80
A4000283,P001,911,0018,0.00
A4000283,P002,911,0018,5.20
A4000283,P003,911,0018,2.20
A4000283,P004,911,0018,2.60
A4200130,P001,911,0018,1.20
A4200130,P002,911,0018,2.80
A4200130,P003,911,0018,1.30
A4000283,P001,911,0024,0.00
A4000283,P002,911,0024,4.40
A4000283,P003,911,0024,2.50
A4000283,P004,911,0024,2.70
A4200130,P001,911,0024,1.80
A4200130,P002,911,0024,2.80
A4200130,P003,911,0024,1.30
A4200130,P001,911,0030,1.30
A4200130,P002,911,0030,2.80
A4200130,P003,911,0030,1.30
A4000283,P001,911,0030,0.00
A4000283,P002,911,0030,3.80
A4000283,P003,911,0030,2.40
A4000283,P004,911,0030,2.80
A4200130,P001,922,0030,0.00
A4200130,P001,923,0030,0.00
A4200130,P001,924,0030,0.00
A4200130,P001,926,0030,0.00
A4200130,P001,936,0030,23.80
A4200130,P002,922,0030,3.00
A4200130,P002,923,0030,69.00
A4200130,P002,924,0030,4.00
A4200130,P002,926,0030,19.00
A4200130,P002,936,0030,9.10
A4200130,P003,922,0030,9.00
A4200130,P003,923,0030,87.00
A4200130,P003,924,0030,6.00
A4200130,P003,926,0030,27.00
A4200130,P003,936,0030,10.20
A4000283,P001,922,0030,0.00
A4000283,P001,923,0030,0.00
A4000283,P001,924,0030,0.00
A4000283,P001,926,0030,0.00
A4000283,P001,936,0030,0.00
A4000283,P002,922,0030,3.00
A4000283,P002,923,0030,53.00
A4000283,P002,924,0030,5.00
A4000283,P002,926,0030,6.00
A4000283,P002,936,0030,12.90
A4000283,P003,922,0030,1.00
A4000283,P003,923,0030,67.00
A4000283,P003,924,0030,4.00
A4000283,P003,926,0030,8.00
A4000283,P003,936,0030,12.30
A4000283,P004,922,0030,1.00
A4000283,P004,923,0030,69.00
A4000283,P004,924,0030,3.00
A4000283,P004,926,0030,6.00
A4000283,P004,936,0030,11.80
A4200130,P001,911,0036,1.30
A4200130,P002,911,0036,2.90
A4200130,P003,911,0036,1.30
A4000283,P001,911,0036,0.00
A4000283,P002,911,0036,3.80
A4000283,P003,911,0036,2.60
A4000283,P004,911,0036,3.20
A4000283,P001,911,0042,0.00
A4000283,P002,911,0042,4.00
A4000283,P003,911,0042,2.50
A4000283,P004,911,0042,2.80
A4200130,P001,911,0042,1.10
A4200130,P002,911,0042,2.90
A4200130,P003,911,0042,1.30
A4200130,P001,922,0045,0.00
A4200130,P001,923,0045,0.00
A4200130,P001,924,0045,0.00
A4200130,P001,926,0045,0.00
A4200130,P001,936,0045,23.80
A4200130,P002,922,0045,2.00
A4200130,P002,923,0045,58.00
A4200130,P002,924,0045,12.00
A4200130,P002,926,0045,15.00
A4200130,P002,936,0045,8.80
A4200130,P003,922,0045,9.00
A4200130,P003,923,0045,90.00
A4200130,P003,924,0045,6.00
A4200130,P003,926,0045,30.00
A4200130,P003,936,0045,10.60
A4000283,P001,922,0045,0.00
A4000283,P001,923,0045,0.00
A4000283,P001,924,0045,0.00
A4000283,P001,926,0045,0.00
A4000283,P001,936,0045,0.00
A4000283,P002,922,0045,3.00
A4000283,P002,923,0045,76.00
A4000283,P002,924,0045,5.00
A4000283,P002,926,0045,5.00
A4000283,P002,936,0045,12.40
A4000283,P003,922,0045,2.00
A4000283,P003,923,0045,69.00
A4000283,P003,924,0045,6.00
A4000283,P003,926,0045,8.00
A4000283,P003,936,0045,13.20
A4000283,P004,922,0045,1.00
A4000283,P004,923,0045,70.00
A4000283,P004,924,0045,12.00
A4000283,P004,926,0045,6.00
A4000283,P004,936,0045,10.50
A4000283,P001,911,0048,0.00
A4000283,P002,911,0048,4.00
A4000283,P003,911,0048,2.30
A4000283,P004,911,0048,2.60
A4200130,P001,911,0048,1.00
A4200130,P002,911,0048,2.90
A4200130,P003,911,0048,1.20
A4200130,P001,911,0054,1.60
A4200130,P002,911,0054,2.90
A4200130,P003,911,0054,1.30
A4000283,P001,911,0054,0.00
A4000283,P002,911,0054,4.60
A4000283,P003,911,0054,2.60
A4000283,P004,911,0054,2.60
A4200130,P001,911,0100,1.50
A4200130,P002,911,0100,2.90
A4200130,P003,911,0100,1.30
A4000283,P001,911,0100,0.00
A4000283,P002,911,0100,4.70
A4000283,P003,911,0100,2.40
A4000283,P004,911,0100,3.00
A4200130,P001,911,0106,1.10
A4200130,P002,911,0106,2.80
A4200130,P003,911,0106,1.20
